Rank,ID,Business,Industry,Hit Score,Forecast Reply Window,Signal,Email,Website,ServiceFocus,Graphic Filename
20,SJ2-020,Atta Tattoo,Tattoo,75,2–12 hr,artist direct,c.tra.wpatta@gmail.com,https://attatattoo.com/contact,tattoo,020-SJ2-020-atta-tattoo.png
21,SJ2-021,Ed's Scientific Auto Body,Auto Body,75,2–12 hr,owner-operated,edsciens@sbcglobal.net,https://edsscientificautobody.com/,collision repair,021-SJ2-021-ed-s-scientific-auto-body.png
22,SJ2-022,EDCO Heating & Air,HVAC,75,2–12 hr,family-owned,edcoheating@gmail.com,https://www.edcoheating.com/contact,HVAC,022-SJ2-022-edco-heating-air.png
23,SJ2-023,John Molina Concrete,Concrete,75,2–12 hr,owner-operated,jmolinaconcrete@yahoo.com,https://www.johnmolinaconcrete.com/,concrete,023-SJ2-023-john-molina-concrete.png
24,SJ2-024,Pic Mee Photo Booth,Photo Booth,75,2–12 hr,owner direct,PicMeeBooth@gmail.com,https://www.picmeephotobooth.com/,photo booth,024-SJ2-024-pic-mee-photo-booth.png
25,SJ2-025,RadiantilyK Aesthetic,Med Spa,75,2–12 hr,owner clinician,Radiantilyk@gmail.com,https://radiantilykaesthetics.com/san-jose-medical-spa/,med spa,025-SJ2-025-radiantilyk-aesthetic.png
26,SJ2-026,Scruffy to Fluffy Mobile Grooming,Pet Grooming,75,2–12 hr,mobile owner,krissy.scruffytofluffy@gmail.com,https://scruffytofluffysj.com/,peth grooming,026-SJ2-026-scruffy-to-fluffy-mobile-grooming.png
27,SJ2-027,Shot By Jay Photo Booth,Photo Booth,75,2–12 hr,owner direct,shotbyjayphotobooth@gmail.com,https://www.shotbyjayphotobooth.com/,photo booth,027-SJ2-027-shot-by-jay-photo-booth.png
28,SJ2-028,The Grateful Dog Mobile Grooming,Pet Grooming,75,2–12 hr,mobile owner,thegratefuldogmg@gmail.com,https://www.thegratefuldogmg.com/,pet grooming,028-SJ2-028-the-grateful-dog-mobile-grooming.png
29,SJ2-029,Villega's Roofing,Roofing,75,2–12 hr,family-owned,villegasroofing2023@gmail.com,https://www.villegas-roofing.com/,roofing,029-SJ2-029-villega-s-roofing.png
30,SJ2-030,Allegiant Electric,Electrical,74,1–6 hr,24/7 emergency,Support@AllegiantElectricInc.com,https://www.allegiantelectricinc.com/contact,electrical service,030-SJ2-030-allegiant-electric.png
31,SJ2-031,Dansel Restoration,Restoration,74,1–6 hr,24/7 support,help@danselrestoration.com,https://danselrestoration.com/,restoration,031-SJ2-031-dansel-restoration.png
32,SJ2-032,FloodDry Water Damage Restoration,Restoration,74,1–6 hr,24/7 emergency,service@flooddrywdr.com,https://flooddrywdr.com/contact/,water damage,032-SJ2-032-flooddry-water-damage-restoration.png
33,SJ2-033,High Five Catering,Catering,74,1–6 hr,open daily,info@cateringbyfive.com,https://hi5catering.com/contact-us/,catering,033-SJ2-033-high-five-catering.png
34,SJ2-034,JB Rooter & Plumbing,Plumbing,74,1–6 hr,24/7 emergency,info@jbrooterandplumbing.com,https://jbrooterandplumbing.com/contact,rooter and plumbing,034-SJ2-034-jb-rooter-plumbing.png
35,SJ2-035,Mr. Reliable Plumbing Heating & Air,HVAC/Plumbing,74,1–6 hr,24/7 availability,info@mrreliablephc.com,https://mrreliablephc.com/contact-us/,HVAC and plumbing,035-SJ2-035-mr-reliable-plumbing-heating-air.png
36,SJ2-036,One Time Plumbing,Plumbing,74,1–6 hr,24/7 emergency,contact@otp-inc.com,https://www.otp-inc.com/,emergency plumbing,036-SJ2-036-one-time-plumbing.png
37,SJ2-037,Rayne Plumbing,Plumbing,74,1–6 hr,24/7 live help,service@rayneplumbing.com,https://rayneplumbing.com/,plumbing,037-SJ2-037-rayne-plumbing.png
38,SJ2-038,US Creative Restoration,Restoration,74,1–6 hr,24/7 restoration,info@uscrestoration.com,https://uscrestoration.com/contact/,water/fire/mold,038-SJ2-038-us-creative-restoration.png
39,SJ2-039,REM Multimedia,Photography,73,1–4 hr,4-hour response,robertm@remmultimedia.com,https://remmultimedia.com/,real estate media,039-SJ2-039-rem-multimedia.png
40,SJ2-040,Carlos Garage Door Services,Garage Door,72,2–12 hr,family-owned,maria.jose@carlosgaragedoorservice.com,https://www.carlosgaragedoorservice.com/,garage door repair,040-SJ2-040-carlos-garage-door-services.png
41,SJ2-041,GBD Concrete,Concrete,72,2–12 hr,family-owned,gonzalo@gbdconcrete.com,https://www.gbdconcrete.com/,concrete,041-SJ2-041-gbd-concrete.png
42,SJ2-042,Grumpy's HVAC,HVAC,72,2–12 hr,owner direct,david@grumpyshvac.com,https://www.grumpyshvac.com/,HVAC,042-SJ2-042-grumpy-s-hvac.png
43,SJ2-043,Gwen Aesthetics,Med Spa,72,2–12 hr,owner direct,janet@gwenaesthetics.com,https://internal-services.gwenaesthetics.com/contact,med spa,043-SJ2-043-gwen-aesthetics.png
44,SJ2-044,New Generation Tattoo,Tattoo,72,2–12 hr,owner direct,leo@newgenerationtattoo.com,https://www.newgenerationtattoo.com/,tattoo,044-SJ2-044-new-generation-tattoo.png
45,SJ2-045,NorCal Comfort Pros,HVAC,72,2–12 hr,owner-operated,Info@NorCalComfortPros.com,https://www.norcalcomfortpros.com/,HVAC,045-SJ2-045-norcal-comfort-pros.png
46,SJ2-046,San Jose Garage Door Doctor,Garage Door,72,2–12 hr,local owner-operated,info@sanjosegaragedoordoc.com,https://sanjosegaragedoordoc.com/contact/,garage door repair,046-SJ2-046-san-jose-garage-door-doctor.png
47,SJ2-047,SJC Concrete Construction,Concrete,72,2–12 hr,owner direct,manuel@sjcconcreteconstruction.com,https://www.sjcconcreteconstruction.com/about/,concrete,047-SJ2-047-sjc-concrete-construction.png
48,SJ2-048,Genie's Junk Removal,Junk Removal,70,1–6 hr,open 7 days,geniesjunkremoval@gmail.com,https://geniesjunkremoval.com/,junk removal,048-SJ2-048-genie-s-junk-removal.png
49,SJ2-049,House of Barbers,Barber,70,1–6 hr,open 7 days,houseofbarbersbarbershop@gmail.com,https://www.houseofbarberssj.com/,barber,049-SJ2-049-house-of-barbers.png
50,SJ2-050,Nailtones,Nail Salon,70,1–6 hr,open daily,nailtonessj@gmail.com,https://nailtonessanjose.com/contact-us,nail salon,050-SJ2-050-nailtones.png
