Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Justo Blanket Wrap Delivery Service,estimates@justodelivery.com,https://www.justodelivery.com/,408-496-6109,https://www.justodelivery.com/contact-us/,"Santa Clara, CA",Furniture delivery and logistics,"Justo offers Northern California furniture delivery, setup and quote workflows; service-scope and delivery-prep content can help commercial/residential customers know what to expect.",2026-09-16,"Current owned contact page lists Santa Clara Northern California office and estimates@justodelivery.com.",YES,justoblanketwrapdeliveryservice,estimates@justodelivery.com,justodelivery.com,4084966109
Abbott's Pro-Power,gabbott@abbottspropower.com,https://abbottspropower.com/,408-847-0472,https://abbottspropower.com/pages/contact,"Gilroy, CA","Outdoor power equipment sales, parts and service","Abbott's combines equipment sales, parts, repair and pickup; product-selection and service-vs-replacement content can make a technical purchase easier for local buyers.",2026-09-16,"Current owned contact/store pages list Gilroy address, gabbott@abbottspropower.com and active product/service inventory.",YES,abbottspropower,gabbott@abbottspropower.com,abbottspropower.com,4088470472
Best Western Plus Forest Park Inn,bwforestparkinn@gmail.com,https://bestwesterngilroy.com/,408-848-5144,https://bestwesterngilroy.com/contact-us/,"Gilroy, CA","Hotel, meetings and group travel","The Gilroy hotel offers rooms, meeting/event space, wedding blocks and packages; stay-purpose and group-planning content can clarify multiple booking paths.",2026-09-16,"Current owned contact/site publishes Gilroy address, public email and active meetings/group/wedding offerings.",YES,bestwesternplusforestparkinn,bwforestparkinn@gmail.com,bestwesterngilroy.com,4088485144
Blossom Valley Foods,info@blossomvalleyfoods.com,https://blossomvalleyfoods.com/,408-848-5520,https://blossomvalleyfoods.com/contact/,"Gilroy, CA",Food manufacturing and co-packing,"Blossom Valley Foods provides sauce, condiment, syrup and juice co-packing with custom production; a plain-English co-packing readiness guide can clarify the B2B inquiry process.",2026-09-16,"Current owned site/contact page lists Gilroy manufacturing location, info@blossomvalleyfoods.com and active co-packing services.",YES,blossomvalleyfoods,info@blossomvalleyfoods.com,blossomvalleyfoods.com,4088485520
Articulate Solutions,info@articulate-solutions.com,https://articulate-solutions.com/,408-842-2275,https://articulate-solutions.com/,"Gilroy, CA","Marketing, design and communications","Articulate combines branding, websites, media, email marketing, PR and creative execution; a service-path/case-study explainer can make its broad agency capabilities easier to buy.",2026-09-16,"Current owned site lists 7365 Monterey Street, Gilroy, public email/phone and current local client work.",YES,articulatesolutions,info@articulate-solutions.com,articulate-solutions.com,4088422275
Blaettler Accountancy,john@blaettlercorp.com,https://blaettleraccountancy.com/,408-848-2730,https://blaettleraccountancy.com/,"Gilroy, CA",Accounting and business consulting,"Blaettler offers bookkeeping, payroll, cash-flow support, QuickBooks assistance and business consulting; non-promissory service-selection content can help businesses understand which support fits.",2026-09-16,"Current accessible owned site lists Gilroy office, public email and accounting/business consulting services; outreach must avoid tax-result claims.",YES,blaettleraccountancy,john@blaettlercorp.com,blaettleraccountancy.com,4088482730
Ramos Furniture,online@ramosfurniture.com,https://www.ramosfurniture.com/,408-293-9930,https://www.ramosfurniture.com/showrooms,"San Jose / Santa Clara, CA","Furniture retail, delivery and setup","Ramos supports showroom shopping, online browsing, special orders, delivery/setup and bilingual service; buyer guides can help customers compare room, size and fulfillment choices.",2026-09-16,"Current owned site lists active San Jose and Santa Clara showrooms, public online inbox and current retail/delivery paths.",YES,ramosfurniture,online@ramosfurniture.com,ramosfurniture.com,4082939930
RPM Productions,randy@rpmpro.com,https://rpmpro.com/,408-569-0127,https://rpmpro.com/,"San Jose / Silicon Valley, CA","DJ, photo booth and event entertainment","RPM combines DJ, lighting, photo booth and planning support for weddings and events; package-comparison and planning-timeline content can clarify booking choices.",2026-09-16,"Current indexed owned site identifies San Jose/Silicon Valley service, public email/phone and active wedding/event services.",YES,rpmproductions,randy@rpmpro.com,rpmpro.com,4085690127
Chilton Auto Body Santa Clara,chilton-santaclara@carstarusa.com,https://chiltonautobody.com/locations/certified-collision-repair-santa-clara/,408-988-9800,https://chiltonautobody.com/locations/certified-collision-repair-santa-clara/,"Santa Clara, CA",Collision repair and auto body,"The Santa Clara shop handles conventional, EV/hybrid and certified collision repair with estimate/appointment paths; process and certification explainers can reduce uncertainty after an accident.",2026-09-16,"Current owned location page lists Santa Clara address, phone and active repair/estimate services; current local business evidence publishes location email.",YES,chiltonautobodysantaclara,chilton-santaclara@carstarusa.com,chiltonautobody.com,4089889800
Granada Hotel Santa Clara,info@granadasantaclara.com,https://www.granadasantaclara.com/,669-302-3571,https://www.granadasantaclara.com/contact-us/,"Santa Clara, CA",Hotel and group stays,"Granada publishes direct booking, guestrooms, groups and current renovation information; stay-purpose and group-planning content can help set expectations accurately during the renovation period.",2026-09-16,"Current owned contact page publishes Santa Clara address, current inbox/phone and renovation notice through Sept. 30, 2026.",YES,granadahotelsantaclara,info@granadasantaclara.com,granadasantaclara.com,6693023571
"Silicon Valley Security & Patrol, Inc.",rhigdon@svsp.com,https://www.svsp.com/,408-978-2198,https://www.svcentralchamber.com/expanded-directory/,"San Jose, CA",Security and patrol services,"SVSP serves commercial properties, apartments/HOAs, retail and other local facilities; service-type and onboarding explainers can make security options easier for property managers to compare.",2026-09-16,"Current Chamber directory publishes business email/site/408 phone; current 2026 business data places headquarters in San Jose. No safety-performance claims are made.",YES,siliconvalleysecuritypatrolinc,rhigdon@svsp.com,svsp.com,4089782198
"Nevtec, Inc.",sales@nevtec.com,https://www.nevtec.com/,408-292-8600,https://www.nevtec.com/privacy-policy/,"San Jose, CA",Managed IT and network consulting,"Nevtec provides managed IT, backup/recovery, infrastructure and consulting for SMBs; a managed-vs-project service guide can make technical choices easier for buyers.",2026-09-16,"Current owned site is active and publishes info@nevtec.com; current partner listings identify San Jose office and sales@nevtec.com.",YES,nevtecinc,sales@nevtec.com,nevtec.com,4082928600
Almaden Press,jason@almadenpress.com,https://almadenpress.com/,408-450-7910,https://www.svcentralchamber.com/expanded-directory/,"Santa Clara, CA",Commercial printing,"Almaden Press is a Santa Clara commercial printer; format, production and ordering guidance can help business buyers scope print jobs before requesting a quote.",2026-09-16,"Current Chamber directory publishes public Jason inbox/site; current business data places headquarters at 2549 Scott Blvd, Santa Clara.",YES,almadenpress,jason@almadenpress.com,almadenpress.com,4084507910
AJ Auto Detailing,ajautodetailingservice@gmail.com,https://ajautodetailingser.wixsite.com/aj-auto-detailing,210-701-0583,https://ajautodetailingser.wixsite.com/aj-auto-detailing,"San Jose, CA",Auto detailing,"AJ publishes tiered exterior/interior detailing and paint-correction packages; a package-comparison and vehicle-prep guide can make booking choices clearer.",2026-09-16,"Current owned Wix site publishes service packages and public email; current local directory places AJ Auto Detailing in San Jose/Santa Clara County.",YES,ajautodetailing,ajautodetailingservice@gmail.com,ajautodetailingser.wixsite.com,2107010583
