Business,Email,Website,Phone,SourceURL,FreshnessURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Pacific Art League,info@pacificartleague.org,https://pacificartleague.org/,650-321-3891,https://pacificartleague.org/,https://pacificartleague.org/,"Palo Alto, CA","Art classes, exhibitions and community events","Pacific Art League publishes classes, exhibitions and community programming; class-selection and event-discovery content can clarify real visitor/student choices.",2026-09-15,"Current owned site publishes Palo Alto location, public email and active art programs.",YES,,pacificartleague,info@pacificartleague.org,pacificartleague.org,6503213891
SPARK Social San Jose,info@sparksocialsanjose.com,https://visitsparksocial.com/san-jose/,,https://visitsparksocial.com/san-jose/,https://visitsparksocial.com/san-jose/,"San Jose, CA","Food park, social venue and events",SPARK Social San Jose combines food vendors with events and group experiences; visit-planning and event-use-case content can explain multiple reasons to visit.,2026-09-15,Current public venue page and business-intended contact evidence identify the San Jose location and events/food-park operation.,YES,,sparksocialsanjose,info@sparksocialsanjose.com,visitsparksocial.com,
Vishwa Shanthi Dance Academy,info@vishwashanthi.com,https://vishwashanthi.com/,,https://vishwashanthi.com/,https://vishwashanthi.com/,"Milpitas / San Jose / Palo Alto, CA",Dance academy and instruction,Vishwa Shanthi serves multiple Santa Clara County locations/programs; location and class-selection content could help families find the right entry path.,2026-09-15,"Current owned site publishes local locations, programming and public business contact.",YES,,vishwashanthidanceacademy,info@vishwashanthi.com,vishwashanthi.com,
Works/San José,gallery@workssanjose.org,https://workssanjose.org/,,https://workssanjose.org/,https://workssanjose.org/,"San Jose, CA","Art gallery, exhibitions and community events","Works/San José presents rotating exhibitions and events; visitor guides, exhibition previews and participation information are concrete content opportunities.",2026-09-15,Current owned site identifies San Jose gallery activity and a public gallery inbox.,YES,,workssanjos,gallery@workssanjose.org,workssanjose.org,
Shiroi Sushi,info@shirois.com,https://shirois.com/,408-340-5965,https://shirois.com/,https://shirois.com/,"Los Gatos, CA",Restaurant and catering,Shiroi Sushi supports restaurant and catering use cases; dining-vs-catering and occasion-based content can clarify those purchase paths.,2026-09-15,Current owned restaurant site/public contact evidence lists Los Gatos and business-intended contact information.,YES,,shiroisushi,info@shirois.com,shirois.com,4083405965
Asma's Kitchen,info@asmas.kitchen,https://asmas.kitchen/,650-542-9059,https://asmas.kitchen/,https://asmas.kitchen/,"Campbell, CA","Mediterranean restaurant, catering and events",Asma's Kitchen combines restaurant service with catering/event options; occasion and service-selector content can make those paths clearer.,2026-09-15,"Current owned site lists Campbell location, public business email/phone and active restaurant/catering information.",YES,,asmaskitchen,info@asmas.kitchen,asmas.kitchen,6505429059
Second Story,info@secondstorylg.com,https://secondstorylg.com/,408-320-6013,https://secondstorylg.com/,https://secondstorylg.com/,"Los Gatos, CA",Private events and hospitality venue,"Second Story is explicitly positioned around private events; event-type, planning and inquiry-prep content can reduce uncertainty before a booking conversation.",2026-09-15,"Current owned venue site lists Los Gatos address, public business contact and private-event information.",YES,,secondstory,info@secondstorylg.com,secondstorylg.com,4083206013
Lexington Hills,info@lexhills.com,https://lexingtonhillsestate.com/,,https://lexingtonhillsestate.com/,https://lexingtonhillsestate.com/,"Los Gatos, CA","Event venue, retreats and offsites","Lexington Hills supports events, retreats and offsites; use-case comparisons and planning checklists can help organizers understand fit before inquiry.",2026-09-15,Current owned venue site and public business email evidence establish the Los Gatos event/offsite operation.,YES,,lexingtonhills,info@lexhills.com,lexingtonhillsestate.com,
Hanna Noodle Bar,info@hannanoodlebar.com,https://hannanoodlebar.com/,,https://hannanoodlebar.com/,https://hannanoodlebar.com/,"Los Gatos, CA","Restaurant, catering and private events","Hanna Noodle Bar operates multiple local dining/event paths; location, catering and private-event content can make those choices easier to discover.",2026-09-15,Current owned restaurant site publishes local locations and business contact information.,YES,,hannanoodlebar,info@hannanoodlebar.com,hannanoodlebar.com,
Centonove,info@centonovelosgatos.com,https://centonovelosgatos.com/,408-384-4007,https://centonovelosgatos.com/,https://centonovelosgatos.com/,"Los Gatos, CA","Restaurant, catering and events",Centonove combines dining with catering/event options; menu/occasion and event-inquiry content provides specific visual and conversion-oriented material.,2026-09-15,Current owned site lists Los Gatos contact information and active dining/event paths.,YES,,centonove,info@centonovelosgatos.com,centonovelosgatos.com,4083844007
Wildseed Palo Alto,paloalto@wildseedsf.com,https://www.wildseedsf.com/palo-alto,,https://www.wildseedsf.com/palo-alto,https://www.wildseedsf.com/palo-alto,"Palo Alto, CA",Plant-based restaurant,Wildseed Palo Alto has a location-specific dining identity; menu/occasion and first-visit content can make the local experience easier to evaluate without making health claims.,2026-09-15,Current owned location page and public Palo Alto inbox establish the Santa Clara County restaurant location.,YES,,wildseedpaloalto,paloalto@wildseedsf.com,wildseedsf.com,
Attune-iN,info@attune-in.com,https://attune-in.com/,650-799-6066,https://attune-in.com/,https://attune-in.com/,"Palo Alto, CA","Coaching, consulting and workshops","Attune-iN offers coaching/consulting-style services where process, audience-fit and first-session expectations can be explained without promising personal or business outcomes.",2026-09-15,Current owned site lists Palo Alto contact information and active service offerings; marketing angle remains non-guaranteed and educational.,YES,,attunein,info@attune-in.com,attune-in.com,6507996066
Tico Coffee Roasters,support@ticoroasters.com,https://ticoroasters.com/,408-800-4855,https://ticoroasters.com/pages/contact-us,https://ticoroasters.com/,"Campbell, CA","Coffee roaster, ecommerce and mobile cafe","Tico combines coffee ecommerce with local/mobile cafe service; product-discovery, brewing and event/mobile-cafe content can expose multiple real purchase paths.",2026-09-15,Current owned contact/site evidence lists Campbell address and public support inbox; active site promotes ecommerce and mobile cafe service.,YES,,ticocoffeeroasters,support@ticoroasters.com,ticoroasters.com,4088004855
De Mattei Construction,jimw@demattei.com,https://demattei.com/,408-350-4200,https://demattei.com/,https://demattei.com/,"San Jose, CA",Residential construction and remodeling,"De Mattei has a substantial design/build project model; project-readiness, process and consultation content can help prospective clients understand the journey without promising project outcomes.",2026-09-15,Current owned site confirms San Jose office and construction services; a 2026 City of San Jose public program lists the business contact used here.,YES,,dematteiconstruction,jimw@demattei.com,demattei.com,4083504200
J.B. Trophies,uwin@jbtrophies.com,https://jbtrophies.com/,408-727-9500,https://www.svcentralchamber.com/expanded-directory/,https://jbtrophies.com/,"Santa Clara, CA","Trophies, awards, engraving and framing","J.B. Trophies sells several recognition/customization paths; award-type, occasion and customization guides can simplify purchasing for teams and organizations.",2026-09-15,Current Silicon Valley Chamber directory publishes uwin@jbtrophies.com and phone; a 2026 Santa Clara program and current local listing corroborate the Santa Clara address and active trophy/framing business.,YES,,jbtrophies,uwin@jbtrophies.com,jbtrophies.com,4087279500
Sign My Signs,info@signmysigns.com,https://signmysigns.com/,408-988-9988,https://www.storeboard.com/signmysigns/board,https://signmysigns.com/,"Santa Clara, CA","Signs, graphics and large-format printing",Sign My Signs offers many signage formats and installation services; a use-case selector can help businesses choose the right format without guessing from a long product list.,2026-09-15,"Current business listing crawled in 2026 publishes info@signmysigns.com, phone, Santa Clara address, website and service range; Chamber/public records corroborate the business.",YES,,signmysigns,info@signmysigns.com,signmysigns.com,4089889988
Tanner Designs,cathy@tannerdesignsllc.com,https://tannerdesignsllc.com/,408-888-2276,https://tannerdesignsllc.com/,https://tannerdesignsllc.com/,"Santa Clara, CA",Interior design and furnishings,"Tanner Designs has a visual, project-based service suited to process, room-type and before/after content that can help prospective clients understand scope.",2026-09-15,Current owned site remains active and identifies Santa Clara location/phone; current Chamber directory publishes the business email.,YES,,tannerdesigns,cathy@tannerdesignsllc.com,tannerdesignsllc.com,4088882276
Goodeye Photography,chris@goodeyephotography.com,https://goodeyephotography.com/,408-431-4808,https://goodeyephotography.com/,https://goodeyephotography.com/,"San Jose / Los Gatos service area, CA",Event and corporate photography,"Goodeye publishes event/corporate photography work in the South Bay; session-use-case, preparation and booking content can make the service easier to evaluate.",2026-09-15,"Current owned booking/contact pages publish chris@goodeyephotography.com and phone, with documented San Jose/Los Gatos event and corporate service footprint.",YES,,goodeyephotography,chris@goodeyephotography.com,goodeyephotography.com,4084314808
