Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
The UPS Store #0793 San Jose,store0793@theupsstore.com,,408-352-5456,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"San Jose, CA","Shipping, printing and business services","This San Jose store combines shipping, printing and business services; service-selector content can support local task-driven customers.",2026-09-16,"Current California DOJ directory publishes location-specific email, phone and San Jose address.",YES,theupsstore0793sanjose,store0793@theupsstore.com,,4083525456
The UPS Store #6497 San Jose,store6497@theupsstore.com,,408-816-8456,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"San Jose, CA","Shipping, printing and business services","This Stevens Creek-area store supports shipping, printing and business services; task/visit-prep content can make a broad service menu easier to navigate.",2026-09-16,"Current California DOJ directory publishes location-specific email, phone and San Jose address.",YES,theupsstore6497sanjose,store6497@theupsstore.com,,4088168456
The UPS Store #6582 San Jose,store6582@theupsstore.com,,408-474-5000,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"San Jose, CA","Shipping, printing and business services","This Tasman Drive location serves business and shipping needs; project/task-based content can highlight printing, packing and administrative service paths.",2026-09-16,"Current California DOJ listing publishes location-specific email, phone and San Jose address.",YES,theupsstore6582sanjose,store6582@theupsstore.com,,4084745000
The UPS Store #4636 Santa Clara,store4636@theupsstore.com,,408-247-4010,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"Santa Clara, CA","Shipping, printing and business services","This Homestead Road store offers common shipping/printing/business-center tasks; service-selector content can improve local discovery beyond generic franchise messaging.",2026-09-16,"Current California DOJ directory publishes location-specific public email, phone and Santa Clara address.",YES,theupsstore4636santaclara,store4636@theupsstore.com,,4082474010
The UPS Store #1560 San Jose,store1560@theupsstore.com,,408-225-5542,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"San Jose, CA","Shipping, printing and business services","This Monterey Road store handles shipping, printing and administrative tasks; local service/use-case content can make a generic franchise page more useful to nearby customers.",2026-09-16,"Current California DOJ directory publishes location-specific email, phone and San Jose address.",YES,theupsstore1560sanjose,store1560@theupsstore.com,,4082255542
Postal Annex #23012 Morgan Hill,pa23012@postalannex.com,,408-612-4500,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"Morgan Hill, CA","Shipping, mailbox and business services","The Morgan Hill Postal Annex bundles shipping, mailboxes and administrative services; service-selector content can help residents and small businesses plan one-stop visits.",2026-09-16,"Current California DOJ directory publishes location-specific email, phone and Morgan Hill address.",YES,postalannex23012morganhill,pa23012@postalannex.com,,4086124500
Postal Annex+ #455 Los Gatos,pa455@postalannex.com,,408-374-9255,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"Los Gatos, CA","Shipping, mailbox and business services","This Los Gatos Postal Annex offers shipping/mailbox/business services; task-based content can clarify the local service mix and visit requirements.",2026-09-16,"Current California DOJ directory publishes location-specific email, phone and Los Gatos address.",YES,postalannex455losgatos,pa455@postalannex.com,,4083749255
Postal Annex #3030 Los Altos,postalannex3030@gmail.com,,408-481-0580,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"Los Altos, CA","Shipping, mailbox and business services","The Los Altos location supports shipping, mailbox and administrative tasks; service-selection and prep content can make a broad neighborhood business center easier to use.",2026-09-16,"Current California DOJ directory publishes exact public Gmail, phone and Los Altos address.",YES,postalannex3030losaltos,postalannex3030@gmail.com,,4084810580
AIM Mail Center #125 Los Gatos,aim125@yahoo.com,,408-377-2005,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"Los Gatos, CA","Shipping, mailbox and business services","AIM Mail Center serves shipping, mailbox and business-center needs; task-based content can clarify common customer journeys and local convenience.",2026-09-16,"Current California DOJ directory publishes exact public email, phone and Los Gatos operation.",YES,aimmailcenter125losgatos,aim125@yahoo.com,,4083772005
AccuScan Solutions LLC,accuratescansolutions@gmail.com,,408-409-2432,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"San Jose, CA","Live Scan fingerprinting","AccuScan provides active San Jose Live Scan service; appointment/document-prep content can make fingerprinting requirements easier to understand.",2026-09-16,"Current California DOJ directory publishes exact public email, phone, Qume Drive address and weekday hours.",YES,accuscansolutionsllc,accuratescansolutions@gmail.com,,4084092432
Postal Annex #12011 San Jose,mohik@relianceproinc.com,,408-274-1453,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"San Jose, CA","Shipping, mailbox and Live Scan services","This South White Road Postal Annex combines shipping, mailbox and Live Scan services; visit-prep and service-selector content can make the multi-service counter easier to navigate.",2026-09-16,"Current California DOJ listing publishes exact public contact, phone and San Jose location.",YES,postalannex12011sanjose,mohik@relianceproinc.com,,4082741453
